,EventTime,Origin,Destination
1,1994.0383160000001,Europa,OtherLocations
11,2007.0383160000001,Europa,OtherLocations
17,2015.038336,Europa,OtherLocations
24,2013.038326,Europa,OtherLocations
25,2012.0382160000001,Europa,OtherLocations
27,2018.0383160000001,Europa,OtherLocations
28,2015.038326,Europa,OtherLocations
29,2010.038326,Europa,OtherLocations
30,1978.722776,Europa,OtherLocations
32,2014.0383160000001,Europa,OtherLocations
35,1960.477356,Europa,OtherLocations
36,2004.219706,OtherLocations,Europa
37,2003.038326,OtherLocations,Europa
38,2013.038326,OtherLocations,Europa
41,2017.038326,OtherLocations,NordesteBR
42,1994.741796,OtherLocations,SulBR
43,2002.884686,SulBR,SudesteBR
44,2002.038326,OtherLocations,Europa
47,2013.0383160000001,OtherLocations,Europa
48,2015.0383160000001,OtherLocations,Bahia
50,2006.0383160000001,OtherLocations,Europa
51,2004.0382060000002,OtherLocations,Europa
52,2014.038326,Europa,OtherLocations
54,2012.0382260000001,Europa,OtherLocations
56,2013.038336,Europa,OtherLocations
71,2010.038326,Europa,OtherLocations
74,1958.092266,Europa,OtherLocations
76,2017.038326,OtherLocations,Bahia
77,2003.038326,OtherLocations,Europa
78,1999.038326,OtherLocations,Europa
81,2003.038326,OtherLocations,Europa
82,2009.038326,OtherLocations,Europa
83,2012.0382160000001,OtherLocations,Europa
84,2005.038326,OtherLocations,Europa
85,2005.038326,OtherLocations,Europa
87,1976.818766,OtherLocations,Europa
89,2002.038336,OtherLocations,Europa
90,1966.667766,OtherLocations,Europa
91,2007.038346,Europa,OtherLocations
92,1959.184686,OtherLocations,SudesteBR
93,2017.038326,SudesteBR,SulBR
94,2015.038336,SudesteBR,Europa
95,1998.038336,SudesteBR,Europa
96,2015.038346,SudesteBR,SulBR
97,2016.0382160000001,SudesteBR,NordesteBR
98,2016.0382260000001,SudesteBR,SulBR
99,2017.038336,SudesteBR,CentroOesteBR
100,1997.7881260000001,SudesteBR,Bahia
101,2018.038326,SudesteBR,Europa
102,2013.038336,SudesteBR,Europa
103,2008.0382260000001,SudesteBR,OtherLocations
104,1972.3729460000002,SudesteBR,CentroOesteBR
105,2015.038336,CentroOesteBR,SudesteBR
106,2015.038336,CentroOesteBR,NorteBR
107,2015.038336,CentroOesteBR,NorteBR
108,2016.0382260000001,CentroOesteBR,NordesteBR
109,2017.038336,CentroOesteBR,NorteBR
110,1975.685946,SudesteBR,SulBR
111,2004.9369960000001,SulBR,CentroOesteBR
112,2017.038326,SulBR,SudesteBR
113,2014.038326,SulBR,SudesteBR
114,1995.1369260000001,SulBR,NordesteBR
115,2017.038326,NordesteBR,CentroOesteBR
116,2017.038336,SudesteBR,SulBR
117,2002.163006,SudesteBR,CentroOesteBR
118,1981.215576,SudesteBR,SulBR
119,2015.038336,SulBR,SudesteBR
120,2016.0382260000001,SulBR,NorteBR
121,2016.0382260000001,SulBR,NorteBR
122,1970.1502260000002,SudesteBR,SulBR
123,1987.756286,SulBR,SudesteBR
124,2003.038336,SudesteBR,Europa
125,2016.0382260000001,SudesteBR,SulBR
126,2017.038336,SudesteBR,CentroOesteBR
127,1970.487986,SudesteBR,NorteBR
128,2015.038336,NorteBR,SulBR
129,2017.038336,NorteBR,SudesteBR
130,2017.038326,NorteBR,OtherLocations
131,2006.038326,NorteBR,OtherLocations
132,2016.0382260000001,NorteBR,SudesteBR
133,2015.038336,SudesteBR,NordesteBR
134,1989.132926,SudesteBR,CentroOesteBR
135,2013.838216,CentroOesteBR,NorteBR
136,1998.3014460000002,SudesteBR,NordesteBR
137,2015.038336,SudesteBR,NorteBR
138,1983.3874460000002,SudesteBR,Bahia
139,2016.0382260000001,Bahia,SudesteBR
140,1993.4979360000002,SudesteBR,NordesteBR
141,2006.5876460000002,NordesteBR,SudesteBR
142,2017.038346,SudesteBR,NordesteBR
143,2016.0382260000001,SudesteBR,SulBR
144,2017.038326,SudesteBR,Europa
145,2014.038326,SudesteBR,Europa
146,2016.0382160000001,SudesteBR,SulBR
147,2015.038336,SudesteBR,Bahia
148,2006.038326,SudesteBR,Europa
149,1987.426656,SudesteBR,Bahia
150,2015.687656,SudesteBR,Bahia
151,2013.038336,SudesteBR,Europa
152,2017.038336,SudesteBR,NorteBR
153,2016.0382260000001,SudesteBR,CentroOesteBR
154,1988.9421960000002,SudesteBR,NorteBR
155,2015.038336,NorteBR,SudesteBR
156,2016.0382260000001,SudesteBR,Bahia
157,2017.038336,SudesteBR,NordesteBR
158,1987.575526,SudesteBR,CentroOesteBR
159,2017.038336,SudesteBR,NordesteBR
160,2016.038236,SudesteBR,SulBR
161,2006.038336,SudesteBR,SulBR
162,1995.2538060000002,SudesteBR,CentroOesteBR
163,2015.038346,SudesteBR,NorteBR
164,1995.539146,SudesteBR,CentroOesteBR
165,2007.038336,CentroOesteBR,Europa
166,1993.966026,SudesteBR,Europa
167,2017.038336,Europa,SudesteBR
168,2002.318416,Europa,SudesteBR
170,2008.0382260000001,SudesteBR,CentroOesteBR
171,2017.038346,SudesteBR,CentroOesteBR
172,2017.038346,SudesteBR,SulBR
173,2014.4297060000001,SudesteBR,CentroOesteBR
174,1972.0604460000002,SudesteBR,SulBR
175,1980.9776960000002,SulBR,SudesteBR
176,2017.038356,SudesteBR,NordesteBR
177,2016.038236,SulBR,SudesteBR
178,2017.038356,SulBR,NordesteBR
179,2017.038346,SulBR,SudesteBR
180,1991.6449360000001,SudesteBR,SulBR
181,2016.038236,SulBR,SudesteBR
182,2015.038336,SudesteBR,NordesteBR
183,2017.038336,SudesteBR,CentroOesteBR
184,2005.038336,SudesteBR,Europa
185,2017.038336,SudesteBR,NorteBR
186,2015.038336,SudesteBR,CentroOesteBR
187,1972.767996,SudesteBR,NordesteBR
188,2015.038346,NordesteBR,SudesteBR
189,2016.038236,NordesteBR,SudesteBR
190,2017.038346,NordesteBR,SudesteBR
191,1996.9832560000002,NordesteBR,SudesteBR
192,1972.1396860000002,SudesteBR,CentroOesteBR
193,2016.038236,CentroOesteBR,SudesteBR
194,2016.038236,CentroOesteBR,OtherLocations
195,2014.038346,CentroOesteBR,NorteBR
196,2016.038236,CentroOesteBR,SudesteBR
197,2015.038346,CentroOesteBR,SudesteBR
198,2005.038346,CentroOesteBR,Europa
199,2006.038346,CentroOesteBR,Europa
200,2005.038336,CentroOesteBR,Europa
201,2007.990426,CentroOesteBR,Europa
202,2017.038346,CentroOesteBR,Europa
203,2012.038236,CentroOesteBR,NordesteBR
204,2003.2116460000002,CentroOesteBR,Europa
205,2014.038356,Europa,CentroOesteBR
206,2007.7578460000002,Europa,Bahia
207,2015.038346,Bahia,SudesteBR
209,2016.038236,Europa,CentroOesteBR
213,2005.466586,CentroOesteBR,Europa
219,2015.038346,SudesteBR,OtherLocations
220,2017.038336,SudesteBR,CentroOesteBR
221,1989.567526,SudesteBR,SulBR
222,1995.0033760000001,SudesteBR,OtherLocations
223,1981.2065960000002,SudesteBR,NordesteBR
224,2014.038336,NordesteBR,NorteBR
225,2006.038336,NordesteBR,SudesteBR
226,2016.038236,NordesteBR,SudesteBR
227,2011.038346,SudesteBR,OtherLocations
228,2011.038346,SudesteBR,CentroOesteBR
229,2016.038236,SudesteBR,NordesteBR
230,2017.038346,SudesteBR,NordesteBR
231,2015.038346,SudesteBR,CentroOesteBR
232,1987.5523660000001,SudesteBR,NorteBR
233,2017.038356,SudesteBR,NordesteBR
234,1973.407946,SudesteBR,NordesteBR
235,2005.2802960000001,NordesteBR,Europa
236,2013.038346,NordesteBR,NorteBR
237,1998.038346,NordesteBR,SudesteBR
238,2010.789256,NordesteBR,SudesteBR
239,2016.038236,NordesteBR,SudesteBR
240,2015.038336,SudesteBR,NordesteBR
241,2001.2548760000002,SudesteBR,CentroOesteBR
242,2009.1003560000001,CentroOesteBR,SudesteBR
243,2015.038336,SudesteBR,NorteBR
244,2007.2212060000002,SudesteBR,OtherLocations
245,1996.830686,SudesteBR,Europa
246,2015.038346,SudesteBR,CentroOesteBR
247,2016.0382260000001,SudesteBR,CentroOesteBR
248,2001.038336,SudesteBR,SulBR
249,2015.038326,SudesteBR,NordesteBR
250,2016.0382160000001,SudesteBR,NorteBR
251,1993.4905860000001,SudesteBR,CentroOesteBR
252,2015.038326,SudesteBR,NordesteBR
253,2012.0382160000001,SudesteBR,SulBR
254,2017.038326,SudesteBR,NorteBR
255,1966.544086,SudesteBR,OtherLocations
256,1998.038346,OtherLocations,SulBR
257,2017.038336,OtherLocations,SudesteBR
258,1987.5259460000002,OtherLocations,CentroOesteBR
259,2015.038336,CentroOesteBR,SudesteBR
260,1981.3224160000002,OtherLocations,Bahia
261,2004.753506,Bahia,NordesteBR
262,2002.558416,OtherLocations,Bahia
264,2016.0382260000001,OtherLocations,SudesteBR
