** Cluster Picker Results **
Cluster Picker v 1.2.5
Input sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.fasta
Input tree =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.nwk
Initial support threshold=	90.0
Support threshold=	90.0
Genetic distance threshold=	0.02
Large cluster threshold=	2147483647
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1ta_alnedited_subtypeF1_clusterPicks.fas
Output tree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk
Output figtree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk.figTree
-------------------------
There are	4493	sequences
Tree has	4493	tips
Found	281	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	2	2	[KEXV01032097|Brazil|Bahia|2016-01-15, KT951010|Brazil|Bahia|VerificarCidade|2012-01-15]	99.9	0.014705882352941176
2	3	3	[KY640113|Brazil|SaoPaulo|2015-01-15, KEXV01011630|Brazil|SaoPaulo|2015-01-15, MN237398|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
3	3	3	[KY581453|Brazil|Bahia|2014-01-15, KEXV01007693|Brazil|Bahia|2014-01-15, KEXV01032491|Brazil|Bahia|2017-01-15]	99.4	0.00392156862745098
4	2	2	[KEXV01011645|Brazil|SaoPaulo|2015-01-15, KX838569|Brazil|SaoPaulo|2015-01-15]	99.7	0.0
5	2	2	[HV0014|Brazil|Bahia|2014-08-20, KEXV01032376|Brazil|Bahia|2016-01-15]	99.3	0.0029411764705882353
6	2	2	[MT741460|FrenchGuiana|2013-01-15, MT741462|FrenchGuiana|2014-01-15]	90.8	9.80392156862745E-4
7	2	2	[KX887690|Brazil|Para|2015-01-15, KX887694|Brazil|Para|2015-01-15]	96.2	0.016666666666666666
8	2	2	[MN971896|Brazil|Maranhao|2016-01-15, KEXV01034284|Brazil|Maranhao|2016-01-15]	100.0	0.0
9	2	2	[KT951014|Brazil|Bahia|VerificarCidade|2012-01-15, KT951015|Brazil|Bahia|VerificarCidade|2012-01-15]	100.0	0.01568627450980392
10	3	3	[HV0116|Brazil|Bahia|2014-12-10, KEXV01032773|Brazil|Bahia|2017-01-15, KEXV01004819|Brazil|Bahia|2015-01-15]	97.0	0.00980392156862745
11	2	2	[MN528462|Brazil|Para|Bragaca|2017-01-15, MN528210|Brazil|Amapa|2013-01-15]	99.9	0.0
12	2	2	[KX357233|Brazil|RioDeJaneiro|NovaIguacu|2012-01-15, KX357281|Brazil|RioDeJaneiro|NovaIguacu|2013-01-15]	99.4	0.00980392156862745
13	2	2	[KEXV01011502|Brazil|SaoPaulo|2014-01-15, MN236419|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
14	2	2	[JN710763|Bolivia|1996-01-15, JN710764|Bolivia|1996-01-15]	100.0	0.0029411764705882353
15	2	2	[KT355943|Brazil|Pernambuco|Recife|2009-01-15, KT355944|Brazil|Pernambuco|Recife|2009-01-15]	100.0	0.00784313725490196
16	2	2	[MH073533|Germany|2013-01-15, MK064270|Germany|2013-01-15]	98.8	0.006862745098039216
17	2	2	[AJ577733|France|1999-01-15, AJ577734|France|2001-01-15]	99.4	0.013725490196078431
18	2	2	[KEXV01031345|Brazil|RioDeJaneiro|2015-01-15, KEXV01039780|Brazil|RioDeJaneiro|2017-01-15]	100.0	0.0196078431372549
19	2	2	[MK720299|Cameroon|2018-01-15, MK720340|Cameroon|2018-01-15]	99.6	0.00392156862745098
20	2	2	[KEXV01015656|Brazil|SaoPaulo|2015-01-15, KX838629|Brazil|SaoPaulo|2014-01-15]	92.0	0.013725490196078431
21	2	2	[KEXV01011897|Brazil|SaoPaulo|2015-01-15, MN236806|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
22	2	2	[KEXV01043263|Brazil|SaoPaulo|2016-01-15, KEXV01043392|Brazil|SaoPaulo|2016-01-15]	100.0	0.014705882352941176
23	2	2	[KP115535|Brazil|SaoPaulo|2014-01-15, KEXV01011417|Brazil|SaoPaulo|2014-01-15]	100.0	0.00196078431372549
24	2	2	[AY643246|Brazil|SaoPaulo|2003-01-15, KEXV01044862|Brazil|SaoPaulo|2016-01-15]	99.4	0.00784313725490196
25	2	2	[KM851076|Brazil|Parana|2012-01-15, MN528367|Brazil|Para|2016-01-15]	99.7	0.004901960784313725
26	2	2	[KEXV01044827|Brazil|SaoPaulo|2016-01-15, MN237043|Brazil|SaoPaulo|2015-01-15]	100.0	0.013725490196078431
27	2	2	[OQ377039|BR|2018-01-15, OQ377040|BR|2019-01-15]	100.0	0.0029411764705882353
28	2	2	[FJ638432|Brazil|Goias|Goiania|2007-01-15, MN528365|Brazil|Para|2015-01-15]	98.9	0.00196078431372549
29	3	3	[FJ638437|Brazil|Goias|Goiania|2007-01-15, MN528364|Brazil|Para|2015-01-15, FJ784206|Brazil|Goias|Goiania|2003-01-15]	97.3	0.018627450980392157
30	3	3	[KM851066|Brazil|Parana|2012-01-15, KM851067|Brazil|Parana|2012-01-15, MN528368|Brazil|Para|2016-01-15]	97.8	0.00980392156862745
31	2	2	[MN237379|Brazil|SaoPaulo|2014-01-15, MN237384|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
32	2	2	[KEXV01029664|Brazil|Pernambuco|2015-01-15, KEXV01037171|Brazil|Pernambuco|2017-01-15]	100.0	0.016666666666666666
33	2	2	[KEXV01038491|Brazil|RioDeJaneiro|2016-01-15, KEXV01039087|Brazil|RioDeJaneiro|2017-01-15]	96.9	0.0196078431372549
34	2	2	[KY640150|Brazil|SaoPaulo|2015-01-15, MN237464|Brazil|SaoPaulo|2015-01-15]	99.3	0.0
35	2	2	[KX357282|Brazil|RioDeJaneiro|NovaIguacu|2013-01-15, KEXV01008832|Brazil|RioDeJaneiro|2015-01-15]	99.7	0.018627450980392157
36	2	2	[JF342306|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15, MF545227|Brazil|MatoGrossoDoSul|2011-01-15]	99.9	0.0029411764705882353
37	2	2	[KEXV01038867|Brazil|RioDeJaneiro|2016-01-15, KEXV01039127|Brazil|RioDeJaneiro|2017-01-15]	95.5	0.018627450980392157
38	2	2	[JN196002|Brazil|SaoPaulo|SaoPaulo|2010-01-15, KT427814|Brazil|SaoPaulo|2010-01-15]	100.0	0.00980392156862745
39	2	2	[KT203237|Brazil|Parana|Curitiba|2015-01-15, KT203240|Brazil|Parana|Curitiba|2015-01-15]	90.5	0.00784313725490196
40	2	2	[KEXV01035231|Brazil|MinasGerais|2017-01-15, KEXV01035471|Brazil|MinasGerais|2017-01-15]	100.0	0.0196078431372549
41	2	2	[MH073458|Germany|2012-01-15, MH073697|Germany|2013-01-15]	100.0	0.008823529411764706
42	2	2	[KEXV01038687|Brazil|RioDeJaneiro|2016-01-15, KEXV01039107|Brazil|RioDeJaneiro|2017-01-15]	99.6	0.013725490196078431
43	2	2	[KEXV01011743|Brazil|SaoPaulo|2015-01-15, MN236627|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
44	2	2	[KEXV01007410|Brazil|MinasGerais|2015-01-15, KEXV01035126|Brazil|MinasGerais|2017-01-15]	100.0	0.01568627450980392
45	2	2	[MH673059|Brazil|Amazonas|2014-01-15, MN528360|Brazil|Para|2014-01-15]	100.0	0.010784313725490196
46	2	2	[KEXV01008558|Brazil|RioDeJaneiro|2015-01-15, KEXV01008561|Brazil|RioDeJaneiro|2015-01-15]	100.0	0.013725490196078431
47	2	2	[MN971890|Brazil|Maranhao|2016-01-15, KEXV01034288|Brazil|Maranhao|2016-01-15]	99.7	0.0
48	2	2	[JN114167|Brazil|Goias|Goiania|2009-01-15, KJ658999|Brazil|Goias|2012-01-15]	100.0	0.016666666666666666
49	2	2	[KEXV01011921|Brazil|SaoPaulo|2015-01-15, MN236830|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
50	2	2	[MN971889|Brazil|Maranhao|2016-01-15, KEXV01034292|Brazil|Maranhao|2016-01-15]	100.0	0.00196078431372549
